	Primary_polyp_DMSO_1	Primary_polyp_DMSO_2	Primary_polyp_DMSO_3	Primary_polyp_AZK_1	Primary_polyp_AZK_2	Primary_polyp_AZK_3
NODE_117128_length_182_cov_452.589928_g73147_i0	8176	7563	8998	5855	7751	5834
NODE_46192_length_1408_cov_436.271795_g2144_i19	4	10	9	46	40	45
NODE_60479_length_867_cov_78.944175_g19392_i0	592	580	620	496	509	476
NODE_93155_length_292_cov_37.638554_g49176_i0	185	186	162	180	195	216
NODE_59356_length_905_cov_300.131090_g18718_i0	23	24	21	55	60	72
NODE_29011_length_2271_cov_566.891382_g4903_i4	46	49	48	89	85	90
NODE_93494_length_290_cov_18.834008_g49515_i0	186	196	174	188	195	218
NODE_45447_length_1438_cov_666.728315_g12420_i0	182	203	215	220	216	208
NODE_70458_length_591_cov_28.591241_g26880_i0	199	203	176	194	202	224
NODE_81392_length_401_cov_239.312849_g37424_i0	2	3	3	34	36	38
NODE_64318_length_749_cov_728.416431_g21953_i0	292	298	287	262	286	279
NODE_61570_length_832_cov_628.212928_g20090_i0	240	226	327	360	338	252
NODE_43371_length_1530_cov_482.466711_g7581_i5	22	27	27	69	63	63
NODE_45982_length_1416_cov_400.101966_g10_i10307	528	394	647	671	552	502
NODE_56545_length_998_cov_533.166492_g10_i11653	72	77	68	108	108	114
NODE_18857_length_3010_cov_322.909673_g3683_i2	46	46	48	86	86	88
NODE_14319_length_3500_cov_555.676309_g3450_i0	89	90	103	136	129	128
NODE_66825_length_679_cov_109.182390_g21103_i1	86	97	92	121	122	136
NODE_30911_length_2157_cov_282.580889_g7818_i0	39	39	39	81	79	77
NODE_57119_length_979_cov_299.006410_g17461_i0	184	179	201	222	209	194
NODE_80877_length_408_cov_12.227397_g36912_i0	13	12	10	48	47	47
NODE_84816_length_361_cov_391.223270_g40838_i0	5	5	2	39	37	35
NODE_27303_length_2376_cov_411.864123_g5902_i3	63	63	53	98	97	102
NODE_111658_length_204_cov_2.614907_g67677_i0	74	56	90	141	133	104
NODE_41005_length_1634_cov_700.292898_g10898_i0	210	213	200	210	213	219
NODE_48639_length_1303_cov_433.235714_g8952_i3	28	32	39	80	74	69
NODE_55757_length_1026_cov_503.114954_g16753_i0	11	12	11	46	45	48
NODE_48765_length_1297_cov_413.977671_g10_i10732	730	894	547	554	718	731
NODE_121400_length_165_cov_18.073770_g77419_i0	189	200	180	169	223	238
NODE_37743_length_1792_cov_328.791881_g6111_i1	3	3	2	34	35	36
NODE_12297_length_3751_cov_376.264833_g10_i3474	113	117	108	140	137	150
NODE_17138_length_3182_cov_563.548582_g2625_i7	51	60	61	99	93	97
NODE_104005_length_234_cov_641.649215_g60024_i0	29048	28574	27518	17847	18654	17382
NODE_20099_length_2903_cov_627.065385_g10_i5405	79	80	68	106	110	122
NODE_66207_length_695_cov_696.832822_g23358_i0	6	14	10	49	40	49
NODE_35071_length_1926_cov_445.452469_g9030_i0	3	2	3	34	32	39
NODE_27666_length_2352_cov_649.168038_g3646_i6	32	36	37	72	71	79
NODE_64800_length_735_cov_34.245665_g22290_i0	1123	1026	1182	890	869	824
NODE_47746_length_1342_cov_500.435720_g5281_i5	146	152	162	182	177	169
NODE_9233_length_4267_cov_403.301373_g1434_i4	20	19	18	57	57	54
NODE_15098_length_3408_cov_801.676077_g2110_i3	18	22	15	58	57	52
NODE_36187_length_1867_cov_556.541118_g7823_i1	63	65	64	97	100	106
NODE_99872_length_254_cov_20.701422_g55891_i0	235	233	192	216	220	244
NODE_49277_length_1278_cov_426.711741_g9031_i2	9	6	8	39	49	37
NODE_65798_length_707_cov_236.073795_g23056_i0	2	2	2	33	35	37
NODE_71179_length_574_cov_135.926554_g27533_i0	64	68	63	101	100	104
NODE_69828_length_605_cov_181.546263_g26320_i0	9	8	11	43	41	46
NODE_45854_length_1421_cov_507.780116_g10_i10286	206	208	223	227	210	220
NODE_107830_length_218_cov_402.662857_g63849_i0	21	21	30	65	65	60
NODE_45110_length_1452_cov_542.810504_g11191_i1	20	21	21	56	56	60
NODE_58674_length_927_cov_454.837104_g15440_i1	24	25	26	61	60	66
NODE_40149_length_1675_cov_322.621324_g10625_i0	7	7	7	41	36	41
NODE_55400_length_1040_cov_442.222668_g16580_i0	3651	3597	3403	919	983	966
NODE_46716_length_1386_cov_424.430380_g10_i10407	123	115	121	157	149	142
NODE_54953_length_1055_cov_429.285573_g10_i11482	514	551	462	389	426	439
NODE_88628_length_325_cov_71.737589_g44650_i0	8	8	3	44	33	43
NODE_32747_length_2051_cov_607.877988_g5084_i3	213	232	226	224	220	224
NODE_63333_length_778_cov_334.194558_g21263_i0	121	118	132	156	147	152
NODE_6026_length_5083_cov_406.794246_g10_i1659	47	46	55	91	90	84
NODE_35628_length_1895_cov_282.067495_g8512_i1	45	54	48	87	84	88
NODE_41913_length_1594_cov_277.660864_g11220_i0	5	5	5	35	36	37
NODE_25663_length_2483_cov_711.044262_g6303_i2	43	41	59	85	96	87
NODE_36751_length_1838_cov_341.692479_g7476_i3	4	4	4	35	34	35
NODE_65941_length_703_cov_120.906061_g22205_i1	52	56	54	101	81	95
NODE_16255_length_3277_cov_135.858380_g515_i32	92	96	104	138	135	120
NODE_51903_length_1174_cov_443.778957_g9004_i7	3	3	4	33	33	36
NODE_43498_length_1525_cov_461.441970_g5625_i2	85	88	91	126	122	116
NODE_50726_length_1220_cov_892.035684_g14259_i1	602	603	645	490	500	484
NODE_25224_length_2513_cov_159.668016_g6177_i1	7	6	7	39	39	37
NODE_56951_length_985_cov_489.878981_g17377_i0	98	98	94	125	131	126
NODE_60576_length_864_cov_614.763703_g10_i12033	16	8	15	46	57	47
NODE_49777_length_1259_cov_372.820724_g10_i10872	79	86	73	109	108	122
NODE_50465_length_1231_cov_144.117003_g14351_i0	5	4	5	35	36	35
NODE_14707_length_3453_cov_629.249853_g3555_i0	52	50	43	83	85	89
NODE_86774_length_342_cov_37.003344_g42796_i0	183	183	158	170	190	208
NODE_7041_length_4774_cov_339.056648_g804_i1	16	18	17	54	50	52
NODE_66113_length_698_cov_75.160305_g23286_i0	211	213	185	191	205	231
NODE_18794_length_3015_cov_549.131225_g4580_i0	62	64	62	97	96	100
NODE_14439_length_3485_cov_425.093260_g10_i4025	0	0	0	34	35	43
NODE_34527_length_1956_cov_387.177731_g8457_i2	4	4	4	34	34	34
NODE_23317_length_2650_cov_461.695052_g2882_i1	66	73	70	104	101	106
NODE_37327_length_1810_cov_544.021505_g1556_i19	39	41	35	69	73	84
NODE_103126_length_238_cov_283.641026_g59145_i0	2	3	3	37	30	32
NODE_75116_length_498_cov_37.002198_g31228_i0	192	178	161	176	187	211
NODE_98_length_14895_cov_576.753771_g29_i0	222	227	233	225	223	223
NODE_72364_length_549_cov_219.375494_g28623_i0	3	3	2	31	31	36
NODE_40391_length_1663_cov_522.053086_g10_i9410	6	6	4	37	36	34
NODE_25686_length_2482_cov_329.760558_g6351_i0	68	62	70	104	97	105
NODE_23283_length_2653_cov_178.019157_g5705_i0	6	7	7	37	37	38
NODE_28560_length_2297_cov_280.098492_g7158_i0	7	7	6	38	37	37
NODE_12380_length_3740_cov_339.727076_g1726_i19	113	118	131	155	153	137
NODE_34943_length_1932_cov_433.500265_g4655_i5	28	32	32	68	66	66
NODE_19287_length_2973_cov_471.767577_g515_i36	9	10	12	42	42	44
NODE_22521_length_2711_cov_494.197526_g2865_i2	93	93	88	117	124	122
NODE_62642_length_799_cov_545.384921_g20794_i0	164	168	181	195	184	177
NODE_35135_length_1922_cov_605.884513_g8215_i2	60	61	63	94	95	98
NODE_74234_length_514_cov_336.295117_g30379_i0	4	4	4	33	33	34
NODE_52975_length_1129_cov_606.238490_g7843_i2	125	131	131	154	145	153
NODE_43270_length_1535_cov_421.703083_g11603_i1	11	14	9	45	42	45
NODE_44144_length_1495_cov_304.975895_g11981_i0	12	14	12	45	45	46
NODE_82667_length_385_cov_348.511696_g38695_i0	0	0	0	30	33	43
NODE_109362_length_213_cov_1.023529_g65381_i0	164	181	141	192	181	167
NODE_43760_length_1513_cov_594.590476_g10984_i1	270	277	302	269	258	264
NODE_50914_length_1213_cov_458.429060_g13101_i2	15	14	19	57	45	50
NODE_78703_length_439_cov_25.446970_g34749_i0	189	194	163	174	192	206
NODE_21449_length_2790_cov_427.826720_g5032_i1	10	11	11	42	40	45
NODE_87330_length_337_cov_21.452381_g43352_i0	178	182	157	169	177	205
NODE_37216_length_1816_cov_342.547659_g9686_i0	17	17	15	51	48	50
NODE_36642_length_1843_cov_423.355000_g9504_i0	52	55	51	89	86	86
NODE_82425_length_388_cov_33.017391_g38453_i0	173	170	144	156	183	196
NODE_123220_length_158_cov_11.782609_g79239_i0	130	128	107	135	138	169
NODE_93486_length_290_cov_35.785425_g49507_i0	183	181	161	174	177	203
NODE_16930_length_3205_cov_489.671094_g1687_i1	69	70	69	102	101	101
NODE_52196_length_1162_cov_162.483467_g10_i11179	217	200	325	350	284	251
NODE_30367_length_2188_cov_587.018182_g3563_i6	33	34	37	74	65	71
NODE_77380_length_459_cov_24.656250_g33444_i0	180	177	157	166	178	203
NODE_19868_length_2920_cov_273.676747_g10_i5341	74	86	80	108	104	118
NODE_24385_length_2572_cov_474.080664_g3475_i3	64	78	66	94	97	114
NODE_17049_length_3193_cov_663.239365_g1874_i3	96	109	98	125	125	129
NODE_28828_length_2281_cov_302.130027_g4949_i2	57	58	53	89	91	88
NODE_82838_length_383_cov_67.029412_g38866_i0	181	184	159	168	184	198
NODE_96223_length_274_cov_7.978355_g52244_i0	5	6	4	31	34	36
NODE_60379_length_870_cov_428.627570_g19333_i0	6876	6882	7162	4318	4381	4355
NODE_57310_length_973_cov_290.648387_g17559_i0	96	108	94	121	118	137
NODE_101450_length_246_cov_548.428571_g57469_i0	33	28	26	65	56	73
NODE_40481_length_1659_cov_332.129950_g10736_i0	61	57	61	91	94	93
NODE_79608_length_425_cov_239.324607_g35648_i0	2	2	4	30	33	30
NODE_64347_length_748_cov_872.283688_g3482_i7	207	210	187	197	194	210
NODE_47981_length_1332_cov_253.751746_g817_i15	4	6	6	36	33	33
NODE_47532_length_1351_cov_367.089450_g13163_i0	6	5	6	35	34	34
NODE_79816_length_422_cov_251.187335_g35855_i0	4	8	6	38	31	37
NODE_26675_length_2416_cov_750.309735_g10_i6916	1082	1108	1093	795	759	763
NODE_62867_length_792_cov_788.186916_g20955_i0	39	37	37	72	69	74
NODE_91579_length_303_cov_29.096154_g47601_i0	195	190	171	176	189	205
NODE_54889_length_1057_cov_1276.558185_g5029_i5	16260	16744	18597	11920	10709	11134
NODE_7728_length_4603_cov_439.942982_g1655_i1	44	43	26	73	68	86
NODE_58524_length_932_cov_285.113611_g14894_i1	3	3	3	32	29	31
NODE_24967_length_2532_cov_403.345119_g5897_i1	1405	1389	1455	346	344	336
NODE_40924_length_1638_cov_369.831975_g7221_i3	119	130	129	150	143	143
NODE_51443_length_1191_cov_140.884146_g14742_i0	53	52	52	84	87	84
NODE_56771_length_991_cov_140.944093_g17280_i0	1	1	1	32	35	41
NODE_22691_length_2697_cov_598.553881_g10_i6027	61	62	62	92	92	95
NODE_17584_length_3141_cov_322.396062_g10_i4766	32	32	30	66	67	62
NODE_70396_length_592_cov_1334.981785_g26828_i0	5442	5325	5561	1526	1548	1500
NODE_60466_length_867_cov_183.604369_g2501_i3	177	140	158	204	185	159
NODE_59721_length_892_cov_498.170789_g18939_i0	1507	1632	1847	1246	1163	1164
NODE_63571_length_771_cov_246.142857_g21429_i0	7	10	8	38	38	37
NODE_50454_length_1231_cov_253.300505_g13442_i1	3	2	3	31	29	30
NODE_16230_length_3281_cov_94.901482_g3085_i1	64	62	71	101	94	97
NODE_120076_length_171_cov_4.523438_g76095_i0	1	0	3	36	29	33
NODE_40277_length_1670_cov_61.000615_g10661_i0	4	4	3	28	30	35
NODE_36476_length_1851_cov_525.366150_g1297_i3	35	44	34	68	69	76
NODE_43716_length_1515_cov_205.805027_g506_i69	173	189	156	174	189	175
NODE_31810_length_2104_cov_506.045124_g10_i7908	42	51	40	73	73	87
NODE_47297_length_1361_cov_593.496206_g6704_i2	1012	978	1041	758	759	700
NODE_48814_length_1295_cov_323.825879_g7794_i1	80	103	122	151	125	129
NODE_55116_length_1049_cov_777.462227_g9933_i1	20	18	14	51	49	49
NODE_102096_length_243_cov_32.815000_g58115_i0	185	182	161	165	174	221
NODE_11452_length_3882_cov_350.139620_g2457_i1	32	34	34	67	66	66
NODE_45830_length_1422_cov_302.482234_g12543_i0	13	11	13	43	44	42
NODE_109117_length_213_cov_16.764706_g65136_i0	206	192	166	177	189	216
NODE_47913_length_1335_cov_566.749226_g7581_i7	47	57	36	71	77	102
NODE_25545_length_2491_cov_497.857026_g3556_i7	34	36	38	71	66	70
NODE_29817_length_2220_cov_557.871383_g2865_i4	83	93	93	122	106	121
NODE_91188_length_306_cov_26.106464_g47210_i0	153	160	141	150	164	172
NODE_29883_length_2216_cov_377.001381_g7447_i1	302	332	311	275	311	257
NODE_72263_length_551_cov_572.643701_g28529_i0	93	92	81	111	117	116
NODE_17885_length_3110_cov_526.836322_g10_i4854	89	92	91	117	113	117
NODE_15384_length_3373_cov_341.318919_g3731_i0	31	28	28	61	63	61
NODE_82027_length_393_cov_28.082857_g38058_i0	156	160	145	150	159	184
NODE_17092_length_3187_cov_457.824746_g4168_i0	10	9	6	36	37	39
NODE_31469_length_2124_cov_275.023066_g10_i7830	26	30	34	65	63	61
NODE_50755_length_1219_cov_496.468537_g14467_i0	54	56	55	85	87	85
NODE_34372_length_1963_cov_543.695312_g5987_i1	91	89	83	112	111	116
NODE_63538_length_772_cov_342.183813_g21404_i0	118	117	134	139	138	149
NODE_47599_length_1348_cov_474.114943_g10_i10555	133	133	132	149	143	150
NODE_68564_length_636_cov_389.198988_g25260_i0	51	59	61	89	85	89
NODE_43629_length_1519_cov_277.547425_g11784_i0	6	3	3	32	32	29
NODE_13896_length_3553_cov_574.855271_g3343_i0	51	52	50	79	80	86
NODE_57889_length_954_cov_241.268935_g17881_i0	4	4	3	28	28	34
NODE_13639_length_3584_cov_314.498164_g3292_i0	27	27	28	58	59	60
NODE_42393_length_1574_cov_546.274331_g11383_i0	8	8	8	38	34	36
NODE_63104_length_785_cov_638.548518_g21111_i0	926	922	982	684	653	688
NODE_80464_length_413_cov_637.737838_g36502_i0	18	19	26	54	55	51
NODE_43175_length_1540_cov_172.888444_g5089_i2	5	6	5	33	33	30
NODE_59148_length_912_cov_150.361335_g18600_i0	320	341	383	52	50	55
NODE_39945_length_1685_cov_579.956151_g7243_i4	155	148	141	155	154	165
NODE_31444_length_2126_cov_186.141623_g7324_i1	7	7	7	33	37	33
NODE_52757_length_1138_cov_665.036530_g12051_i1	89	100	93	114	115	120
NODE_37395_length_1807_cov_391.923469_g9416_i1	101	92	109	131	121	123
NODE_61634_length_830_cov_173.374841_g7767_i2	57	62	69	91	92	93
NODE_30808_length_2162_cov_566.905616_g7762_i1	38	42	48	84	70	72
NODE_14875_length_3435_cov_431.056014_g2680_i1	84	85	87	112	107	111
NODE_46134_length_1410_cov_186.395757_g12656_i0	28	37	29	67	77	52
NODE_21264_length_2806_cov_495.543612_g5196_i0	35	37	35	64	66	70
NODE_64254_length_751_cov_430.795198_g16552_i5	60	67	64	92	95	89
NODE_68487_length_638_cov_1170.006723_g25203_i0	185	220	207	22	20	21
NODE_53204_length_1120_cov_511.695450_g2181_i24	621	426	323	424	556	460
NODE_11861_length_3818_cov_280.702781_g2852_i0	7	6	6	33	32	34
NODE_72994_length_537_cov_523.892713_g29209_i0	65	68	71	91	95	100
NODE_66019_length_700_cov_337.710807_g10_i12366	216	197	184	196	209	187
NODE_37139_length_1820_cov_583.099043_g9656_i0	136	132	155	162	154	150
NODE_14789_length_3444_cov_173.819465_g10_i4101	7	7	6	33	33	34
NODE_21244_length_2807_cov_598.022069_g10_i5703	25	26	26	57	56	56
NODE_33603_length_2004_cov_743.693014_g6140_i1	122	105	207	199	163	224
NODE_39021_length_1729_cov_616.484579_g8137_i1	39	38	36	66	70	69
NODE_47400_length_1357_cov_420.165906_g2828_i12	24	27	26	59	50	61
NODE_32911_length_2042_cov_798.844922_g8369_i0	26	27	28	57	58	58
NODE_46968_length_1375_cov_250.516517_g10824_i2	3	2	3	29	27	28
NODE_47231_length_1364_cov_388.024981_g10_i10483	69	75	61	89	93	105
NODE_26048_length_2457_cov_479.191798_g6449_i0	86	90	85	111	106	113
NODE_101460_length_246_cov_29.369458_g57479_i0	138	131	122	136	141	155
NODE_46367_length_1401_cov_206.041973_g12736_i0	8	8	8	35	34	36
NODE_63234_length_781_cov_366.174797_g21199_i0	105	95	107	132	129	115
NODE_29057_length_2268_cov_531.125843_g10_i7379	73	84	77	102	98	108
NODE_58513_length_933_cov_29.749438_g18247_i0	160	157	138	145	161	174
NODE_60412_length_869_cov_667.428571_g19355_i0	32	37	31	61	65	65
NODE_32598_length_2059_cov_669.976190_g2589_i7	63	71	50	82	88	104
NODE_28669_length_2291_cov_293.237989_g10_i7311	45	46	51	80	75	77
NODE_56332_length_1006_cov_609.133956_g17055_i0	155	164	138	146	151	190
NODE_35689_length_1892_cov_667.538670_g6509_i1	69	75	70	98	94	99
NODE_72322_length_550_cov_45.376726_g28582_i0	157	167	135	147	161	174
NODE_61847_length_824_cov_72.221511_g20262_i0	2	1	1	30	27	29
NODE_60006_length_883_cov_264.570238_g19111_i0	6	7	7	35	32	32
NODE_41584_length_1608_cov_294.186581_g3022_i1	759	748	780	570	558	544
NODE_31529_length_2120_cov_595.889263_g7980_i0	49	51	43	70	75	88
NODE_23722_length_2620_cov_551.689950_g3095_i1	70	73	83	107	95	104
NODE_26679_length_2416_cov_368.488411_g6614_i0	28	28	31	60	57	61
NODE_51519_length_1188_cov_357.408734_g10_i11073	46	47	39	71	69	82
NODE_6029_length_5083_cov_236.954762_g1423_i0	5	5	5	30	30	31
NODE_44165_length_1494_cov_596.933150_g4732_i7	43	43	40	66	72	77
NODE_28946_length_2275_cov_286.527778_g6270_i2	79	74	109	133	107	118
NODE_38198_length_1769_cov_390.338355_g5186_i1	29	30	34	62	61	61
NODE_62933_length_790_cov_312.534137_g20995_i0	1	2	1	25	28	32
NODE_34684_length_1947_cov_399.889181_g788_i5	67	53	71	109	81	99
NODE_97433_length_267_cov_19.986607_g53453_i0	163	157	145	158	151	174
NODE_40042_length_1680_cov_233.766646_g10587_i0	15	16	16	43	46	44
NODE_47980_length_1332_cov_398.221877_g10_i10610	16	44	9	57	53	116
NODE_18171_length_3080_cov_472.674350_g4428_i0	25	26	25	54	56	55
NODE_15916_length_3313_cov_585.184709_g1700_i5	36	39	33	59	66	73
NODE_85952_length_350_cov_24.247557_g41974_i0	154	149	126	139	152	171
NODE_82268_length_390_cov_15.253602_g38297_i0	164	160	143	148	157	181
NODE_11291_length_3909_cov_283.852043_g802_i1	11	11	10	38	38	38
NODE_64621_length_740_cov_360.655667_g19131_i1	5	5	6	31	29	32
NODE_121124_length_166_cov_14.617886_g77143_i0	139	162	150	158	160	151
NODE_93163_length_292_cov_23.807229_g49184_i0	119	121	113	124	127	147
NODE_64121_length_755_cov_365.136236_g9496_i9	42	38	44	70	70	73
NODE_43432_length_1528_cov_414.635690_g4465_i1	114	118	125	143	131	130
NODE_32438_length_2069_cov_663.820336_g4114_i4	110	112	114	125	126	132
NODE_41815_length_1598_cov_500.855949_g4823_i2	67	70	66	89	96	94
NODE_46389_length_1400_cov_426.281503_g11617_i1	51	52	49	79	76	81
NODE_110097_length_210_cov_1.335329_g66116_i0	95	70	82	127	104	105
NODE_13264_length_3628_cov_821.557322_g2110_i1	145	140	146	148	152	154
NODE_35799_length_1887_cov_172.728308_g10_i8617	0	0	0	26	24	23
NODE_109373_length_212_cov_51.816568_g65392_i0	172	174	159	150	173	186
NODE_49342_length_1276_cov_175.909976_g10_i10821	5	4	4	29	28	30
NODE_73848_length_521_cov_230.158996_g30006_i0	246	227	256	225	227	220
NODE_53259_length_1118_cov_517.881860_g141_i106	194	195	190	185	180	190
NODE_37603_length_1798_cov_593.119658_g5740_i12	21	23	22	48	52	53
NODE_49971_length_1251_cov_642.677980_g10_i10896	250	197	304	326	251	234
NODE_39951_length_1685_cov_208.710110_g10_i9342	146	149	143	150	154	151
NODE_21314_length_2802_cov_314.071040_g10_i5719	483	452	482	389	386	356
NODE_61573_length_832_cov_253.323194_g20091_i0	2	1	1	28	26	28
NODE_26941_length_2399_cov_667.591681_g6687_i0	246	266	239	217	215	234
NODE_51622_length_1185_cov_148.569177_g14813_i0	3	2	3	26	27	27
NODE_57151_length_978_cov_368.808556_g17477_i0	49	45	48	75	67	88
NODE_43072_length_1544_cov_294.231845_g1839_i3	0	0	0	22	25	24
NODE_80348_length_415_cov_37.905914_g36386_i0	155	150	129	140	151	168
NODE_53662_length_1103_cov_276.341509_g15713_i0	1	1	1	30	30	28
NODE_34462_length_1959_cov_561.504697_g7912_i1	87	89	89	108	108	110
NODE_82090_length_392_cov_581.401146_g38121_i0	257	258	226	231	223	216
NODE_30650_length_2172_cov_401.415218_g7745_i0	17	17	17	45	44	46
NODE_57806_length_957_cov_304.867615_g17833_i0	8	8	7	32	31	37
NODE_111688_length_203_cov_18.500000_g67707_i0	180	167	168	158	170	185
NODE_70194_length_597_cov_30.940433_g26646_i0	154	152	132	141	151	166
NODE_69325_length_617_cov_417.222997_g17003_i1	38	32	44	76	62	69
NODE_25503_length_2494_cov_306.536924_g10_i6679	31	32	30	60	59	60
NODE_50981_length_1210_cov_597.940017_g14550_i0	942	869	897	638	669	626
NODE_69705_length_608_cov_32.752212_g26212_i0	151	148	129	137	148	167
NODE_37660_length_1796_cov_312.550485_g9813_i0	16	15	16	43	43	44
NODE_60632_length_862_cov_543.514042_g1886_i14	448	378	368	63	74	55
NODE_27206_length_2383_cov_427.012393_g3579_i1	82	82	77	101	99	106
NODE_48514_length_1308_cov_422.115415_g10_i10696	73	84	74	98	98	101
NODE_57153_length_978_cov_303.664171_g17478_i0	210	215	203	195	192	195
NODE_87970_length_331_cov_19.722222_g43992_i0	150	142	123	138	142	163
NODE_99290_length_257_cov_18.369159_g55309_i0	143	137	127	134	139	161
NODE_23731_length_2620_cov_175.447031_g1092_i29	78	50	74	109	106	87
NODE_65119_length_725_cov_202.017595_g22532_i0	5	4	5	30	29	27
NODE_77835_length_452_cov_29.897311_g33891_i0	145	146	120	133	147	158
NODE_10909_length_3977_cov_113.639807_g506_i11	0	0	0	22	20	26
NODE_66132_length_697_cov_306.821101_g20093_i1	60	61	73	92	96	85
NODE_32614_length_2058_cov_464.406948_g8277_i0	12	13	13	41	37	40
NODE_50281_length_1238_cov_659.259414_g14284_i0	35	36	36	65	60	66
NODE_14949_length_3425_cov_483.811650_g3432_i1	54	56	55	78	81	83
NODE_92960_length_294_cov_5.322709_g48981_i0	152	158	138	135	162	165
NODE_114137_length_194_cov_11.642384_g70156_i0	137	153	134	133	147	161
NODE_49393_length_1274_cov_444.173030_g13929_i0	26	30	29	55	52	63
NODE_90538_length_310_cov_9.494382_g46560_i0	1383	1335	1736	1093	1380	1019
NODE_79014_length_434_cov_51.930946_g35058_i0	0	0	0	21	22	24
NODE_50188_length_1242_cov_454.936614_g8306_i4	4	3	2	28	31	21
NODE_26331_length_2440_cov_507.672924_g6519_i0	92	97	100	114	112	115
NODE_27767_length_2346_cov_154.592705_g6933_i0	4	4	4	27	26	29
NODE_17798_length_3119_cov_317.435956_g4332_i0	3	3	3	26	25	27
NODE_17483_length_3151_cov_536.420849_g4262_i0	75	80	75	98	97	99
NODE_25501_length_2494_cov_559.758466_g10_i6678	46	40	40	70	64	76
NODE_32481_length_2066_cov_456.733070_g8212_i1	53	59	47	84	76	78
NODE_60112_length_879_cov_676.020335_g6653_i3	85	89	80	106	103	104
NODE_81640_length_398_cov_40.560563_g37671_i0	145	135	124	133	138	160
NODE_11885_length_3816_cov_120.540949_g2501_i1	82	91	88	104	106	107
NODE_26384_length_2437_cov_324.170426_g10_i6858	0	0	0	21	23	21
NODE_64062_length_757_cov_17.897759_g21764_i0	151	151	129	134	149	165
NODE_29012_length_2271_cov_566.234291_g4903_i5	14	12	15	41	42	38
NODE_98875_length_259_cov_382.041667_g54894_i0	44	47	44	60	79	78
NODE_22676_length_2698_cov_599.328814_g3200_i1	35	41	35	61	64	67
NODE_38322_length_1763_cov_418.148837_g5510_i3	12	14	12	39	37	40
NODE_98664_length_260_cov_65.382488_g54683_i0	11	11	10	37	39	33
NODE_27774_length_2345_cov_652.901825_g754_i12	33	42	38	69	62	64
NODE_36393_length_1856_cov_479.965803_g9431_i0	68	67	70	94	92	88
NODE_122451_length_161_cov_14.432203_g78470_i0	152	142	114	131	147	162
NODE_112998_length_198_cov_18.083871_g69017_i0	121	117	98	124	124	129
NODE_75997_length_481_cov_362.463470_g13484_i3	99	70	144	3	1	2
NODE_45383_length_1441_cov_302.188841_g12395_i0	2	2	2	23	24	27
NODE_31813_length_2104_cov_298.580301_g4892_i2	42	42	49	81	71	65
NODE_119342_length_174_cov_3.992366_g75361_i0	182	139	155	175	142	194
NODE_32580_length_2060_cov_423.583540_g6009_i1	33	33	33	58	60	62
NODE_31359_length_2131_cov_518.072318_g211_i20	44	47	50	75	70	74
NODE_43269_length_1535_cov_528.313673_g11669_i0	93	98	92	108	108	115
NODE_4276_length_5805_cov_552.061263_g1017_i0	31	31	30	57	57	59
NODE_47372_length_1358_cov_504.180228_g13101_i0	54	55	51	79	77	78
NODE_33763_length_1996_cov_489.347158_g1873_i10	41	46	40	66	66	73
NODE_72515_length_546_cov_254.489066_g28768_i0	6	12	7	31	28	43
NODE_36039_length_1874_cov_267.030584_g9316_i0	498	520	525	379	372	397
NODE_65369_length_718_cov_232.748148_g22722_i0	16	13	14	39	42	40
NODE_17121_length_3184_cov_528.248329_g2272_i4	26	30	28	54	57	53
NODE_8300_length_4470_cov_287.150215_g917_i8	4	4	4	25	27	27
NODE_31256_length_2136_cov_362.832776_g7914_i0	2	3	3	23	24	27
NODE_58276_length_941_cov_334.420935_g18116_i0	73	88	65	91	88	114
NODE_38456_length_1757_cov_152.185531_g10080_i0	3	2	3	26	23	25
NODE_32832_length_2047_cov_310.278942_g8349_i0	11	12	12	37	37	36
NODE_60380_length_870_cov_415.629988_g19334_i0	42	43	46	74	70	65
NODE_46191_length_1408_cov_448.231502_g55_i7	87	90	109	3	2	3
NODE_24176_length_2588_cov_528.521022_g10_i6381	23	20	25	52	46	51
NODE_35902_length_1881_cov_459.090860_g10_i8648	1032	977	1082	749	765	675
NODE_15011_length_3417_cov_172.176645_g3629_i0	16	16	15	42	40	42
NODE_14391_length_3491_cov_282.922274_g10_i4016	25	25	25	51	51	52
NODE_1300_length_8613_cov_432.083664_g308_i0	8	9	9	32	33	33
NODE_2825_length_6659_cov_299.957678_g637_i1	24	25	25	50	49	54
NODE_122637_length_161_cov_3.550847_g78656_i0	44	46	41	57	85	71
NODE_38038_length_1777_cov_732.244521_g8832_i1	108	109	109	120	119	121
NODE_29218_length_2257_cov_684.216350_g5185_i2	127	139	84	116	127	188
NODE_51740_length_1180_cov_439.969217_g10_i11114	2	1	1	23	24	26
NODE_24531_length_2562_cov_531.605002_g6036_i0	51	49	48	71	73	77
NODE_62899_length_791_cov_493.272727_g18759_i1	4604	4202	4359	2799	2950	2640
NODE_40013_length_1681_cov_481.532357_g10577_i0	51	52	57	78	74	80
NODE_13373_length_3616_cov_431.770501_g3230_i0	51	53	60	81	77	78
NODE_60978_length_851_cov_181.092822_g19693_i0	3	4	3	23	26	26
NODE_53586_length_1106_cov_557.899341_g6938_i1	24	27	27	50	52	54
NODE_30898_length_2158_cov_290.254846_g7816_i0	29	29	30	55	56	55
