	KO definition	gene name	counts
94	CAAX protease family protein	['NODE_31387_length_2129_cov_555.093960_g4675_i1_1', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_5', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_1', 'NODE_60414_length_869_cov_349.640436_g18821_i1_2', 'NODE_61354_length_839_cov_358.285176_g18821_i2_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_3']	7
954	inulosucrase [EC:2.4.1.9]	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	7
1165	mucin-1	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	7
1147	mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_39135_length_1724_cov_496.291493_g9155_i1_6', 'NODE_39135_length_1724_cov_496.291493_g9155_i1_6', 'NODE_39135_length_1724_cov_496.291493_g9155_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4']	7
101	CD248 antigen, endosialin	['NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	7
1468	remodeling and spacing factor 1	['NODE_33125_length_2030_cov_1007.464519_g8431_i1_4', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	7
1465	regulator of sigma E protease [EC:3.4.24.-]	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	7
1074	matrix remodeling-associated protein 5	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_4', 'NODE_39135_length_1724_cov_496.291493_g9155_i1_6', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	7
1260	nuclear pore complex protein Nup214	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	7
194	G2/mitotic-specific cyclin 2	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	7
801	fibronectin-binding protein A	['NODE_31099_length_2145_cov_978.660799_g7863_i0_4', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_2', 'NODE_67158_length_672_cov_9.523052_g24107_i0_5']	7
728	diguanylate cyclase [EC:2.7.7.65]	['NODE_31387_length_2129_cov_555.093960_g4675_i1_1', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_5', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_5', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_5', 'NODE_60414_length_869_cov_349.640436_g18821_i1_2', 'NODE_61354_length_839_cov_358.285176_g18821_i2_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_1']	7
1692	syndecan 1	['NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_61938_length_821_cov_78.356041_g20323_i0_6']	7
1630	soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	['NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_6']	7
1815	uncharacterized protein	['NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_39538_length_1704_cov_115.721854_g10431_i0_3', 'NODE_49917_length_1253_cov_290.352893_g14051_i1_1', 'NODE_70819_length_582_cov_601.601113_g27209_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	7
587	chromate transporter	['NODE_40297_length_1668_cov_702.177231_g1000_i10_5', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_5', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_2', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_2', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_2', 'NODE_60414_length_869_cov_349.640436_g18821_i1_2', 'NODE_61354_length_839_cov_358.285176_g18821_i2_5']	7
1839	von Willebrand factor A domain-containing protein 2	['NODE_15196_length_3397_cov_257.655337_g3682_i0_6', 'NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	7
145	E3 ubiquitin-protein ligase Hakai [EC:2.3.2.27]	['NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1', 'NODE_61938_length_821_cov_78.356041_g20323_i0_4']	7
762	ecotropic viral integration site 2B protein	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	7
103	CD34 antigen	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	6
131	DamX protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	6
1823	versican core protein	['NODE_15196_length_3397_cov_257.655337_g3682_i0_6', 'NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_52579_length_1145_cov_467.079855_g15210_i0_4', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	6
1455	receptor-type tyrosine-protein phosphatase C [EC:3.1.3.48]	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	6
1224	neural Wiskott-Aldrich syndrome protein	['NODE_41514_length_1611_cov_375.196429_g5989_i5_1', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	6
765	endomucin	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	6
1688	surface protein G	['NODE_31099_length_2145_cov_978.660799_g7863_i0_4', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_2', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_5', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_67158_length_672_cov_9.523052_g24107_i0_5']	6
645	complement C1q and tumor necrosis factor-related protein 3	['NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	6
1669	splicing factor 1	['NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1', 'NODE_61938_length_821_cov_78.356041_g20323_i0_4']	6
396	X-linked retinitis pigmentosa GTPase regulator	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_4', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_6', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	6
539	carbon dioxide concentrating mechanism protein CcmN	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	6
1276	olfactomedin-like protein 2	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	6
438	adhesion G-protein coupled receptor G2	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	6
454	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7A) [EC:2.4.3.3]	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	6
958	jagged-1	['NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_4', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	6
1419	protein vein	['NODE_15196_length_3397_cov_257.655337_g3682_i0_6', 'NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_39135_length_1724_cov_496.291493_g9155_i1_6', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	6
1636	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	['NODE_40297_length_1668_cov_702.177231_g1000_i10_2', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	6
279	Na+:H+ antiporter, NhaA family	['NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	6
822	formin 2	['NODE_41514_length_1611_cov_375.196429_g5989_i5_1', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	6
883	hepatocyte growth factor-regulated tyrosine kinase substrate	['NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	6
566	cell wall integrity and stress response component	['NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_67636_length_659_cov_396.870130_g24498_i0_4', 'NODE_84365_length_366_cov_421.201238_g40387_i0_3']	6
1319	phosphatidate cytidylyltransferase [EC:2.7.7.41]	['NODE_40297_length_1668_cov_702.177231_g1000_i10_5', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_5', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_2', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_2', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_2']	5
465	anthrax toxin receptor	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	5
203	Gti1/Pac2 family transcription factor	['NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	5
498	bifunctional autolysin [EC:3.5.1.28 3.2.1.96]	['NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_4', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	5
1217	nephronectin	['NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	5
1324	pikachurin	['NODE_15196_length_3397_cov_257.655337_g3682_i0_6', 'NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	5
441	adipocyte plasma membrane-associated protein	['NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	5
448	aggrecan 1	['NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_52579_length_1145_cov_467.079855_g15210_i0_4', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	5
1284	otogelin	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	5
449	agrin	['NODE_15196_length_3397_cov_257.655337_g3682_i0_6', 'NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	5
505	brevican	['NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_52579_length_1145_cov_467.079855_g15210_i0_4', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	5
185	G protein-coupled receptor 152	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5', 'NODE_67636_length_659_cov_396.870130_g24498_i0_6', 'NODE_84365_length_366_cov_421.201238_g40387_i0_1']	5
1330	platelet glycoprotein V	['NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4']	5
351	SH3-domain binding protein 1	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	5
218	K+:H+ antiporter	['NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	5
428	activating transcription factor 7-interacting protein	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	5
799	fibronectin type III domain-containing protein 1	['NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_4', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_6', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	5
335	Rho guanine nucleotide exchange factor 15	['NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	5
832	galectin-3	['NODE_24058_length_2598_cov_603.844618_g5029_i3_2', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_3', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_6', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_2']	5
849	glioma pathogenesis-related protein 1	['NODE_10455_length_4045_cov_509.713393_g10_i2982_1', 'NODE_10455_length_4045_cov_509.713393_g10_i2982_2', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_6', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_2', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	5
758	dystroglycan 1	['NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3']	5
358	SUN family beta-glucosidase [EC:3.2.1.-]	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4']	5
312	REST corepressor 2/3	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_41514_length_1611_cov_375.196429_g5989_i5_1', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1', 'NODE_61938_length_821_cov_78.356041_g20323_i0_4']	5
864	glycosyltransferase 2 family protein	['NODE_24967_length_2532_cov_403.345119_g5897_i1_5', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_1', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_5', 'NODE_60414_length_869_cov_349.640436_g18821_i1_2', 'NODE_61354_length_839_cov_358.285176_g18821_i2_5']	5
282	Notch 1	['NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	5
955	inverted formin-2	['NODE_33125_length_2030_cov_1007.464519_g8431_i1_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	5
959	jagged-2	['NODE_25791_length_2476_cov_566.609125_g405_i6_3', 'NODE_47558_length_1350_cov_507.627391_g13172_i0_2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2_1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_4', 'NODE_104004_length_234_cov_1035.371728_g60023_i0_5']	5
680	cyclin K	['NODE_52881_length_1133_cov_348.866972_g15343_i0_6', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_6', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_6', 'NODE_60414_length_869_cov_349.640436_g18821_i1_6', 'NODE_61354_length_839_cov_358.285176_g18821_i2_1']	5
1009	localization factor PodJL	['NODE_41514_length_1611_cov_375.196429_g5989_i5_3', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	5
657	concentrative nucleoside transporter, CNT family	['NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_52881_length_1133_cov_348.866972_g15343_i0_4', 'NODE_60414_length_869_cov_349.640436_g18821_i1_4', 'NODE_61354_length_839_cov_358.285176_g18821_i2_3', 'NODE_61938_length_821_cov_78.356041_g20323_i0_5']	5
