	KO definition	gene name	counts
2261	serine/threonine-protein kinase ULK1 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2262	serine/threonine-protein kinase ULK2 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
958	classical protein kinase C beta type [EC:2.7.11.13]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
957	classical protein kinase C alpha type [EC:2.7.11.13]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2263	serine/threonine-protein kinase ULK3 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2264	serine/threonine-protein kinase ULK4 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1058	cyclin G-associated kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2044	protein kinase D [EC:2.7.11.13]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2266	serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2267	serine/threonine-protein kinase/endoribonuclease IRE2 [EC:2.7.11.1 3.1.26.-]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1028	complement component 8 subunit beta	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
1151	dystroglycan 1	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_56578_length_997_cov_553.798742_g17185_i0.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
2272	serum/glucocorticoid-regulated kinase 1 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2273	serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2274	serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
955	cingulin-like protein 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1156	echinoderm microtubule-associated protein-like 1/2	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	3
1990	prespore-specific regulator	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1163	ecotropic viral integration site 5 protein	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2220	serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase [EC:2.7.11.-]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2214	serine/threonine-protein kinase CAK1 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1067	cyclin-dependent kinase 17 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2218	serine/threonine-protein kinase ELM1 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
711	amelogenin	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p4', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p6', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p4']	3
1128	doublecortin-like kinase 1/2 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2196	serine/threonine kinase 16 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2008	prostaglandin-endoperoxide synthase 1 [EC:1.14.99.1]	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
2197	serine/threonine kinase 17 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
885	cell division control protein CDC15 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2198	serine/threonine kinase 3	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
884	cell division control protein 7 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1132	dual specificity mitogen-activated protein kinase kinase JKK-1 [EC:2.7.12.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2199	serine/threonine kinase 32 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2105	receptor-type tyrosine-protein phosphatase epsilon [EC:3.1.3.48]	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
917	centrosomal protein CEP290	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
880	cell cycle serine/threonine-protein kinase CDC5/MSD2 [EC:2.7.11.21]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
879	cell cycle related kinase [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1135	dual specificity protein kinase YAK1 [EC:2.7.12.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
920	centrosomal protein CEP83	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1136	dual specificity tyrosine-phosphorylation-regulated kinase 1 [EC:2.7.12.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2201	serine/threonine kinase 35 [EC:2.7.11.1]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
1137	dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
755	aurora kinase, other [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2202	serine/threonine kinase 38 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
692	adhesion G protein-coupled receptor L4	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
2094	receptor tyrosine kinase-like orphan receptor 2 [EC:2.7.10.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1138	dual-specificity kinase [EC:2.7.12.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2203	serine/threonine kinase 4	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2052	protein serine kinase H [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
689	adhesion G protein-coupled receptor E2	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
2195	serine/threonine kinase 10 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2009	prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
754	aurora kinase C [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2067	proto-oncogene serine/threonine-protein kinase Pim-1 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2175	septation ring formation regulator	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2065	protein-serine/threonine kinase [EC:2.7.11.-]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
983	collagen triple helix repeat-containing protein 1	['NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	3
733	ankyrin repeat domain-containing protein 26	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
545	TRAF3-interacting JNK-activating modulator	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2168	selectin, platelet	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
898	centractin	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
897	centlein	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2033	protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2176	ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1095	cytoplasmic tyrosine-protein kinase BMX [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2031	protein bicaudal D	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2068	proto-oncogene serine/threonine-protein kinase Pim-2 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2070	proto-oncogene serine/threonine-protein kinase mos [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2069	proto-oncogene serine/threonine-protein kinase Pim-3 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2029	protein STU2	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1103	death-associated protein kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
910	centrosomal protein CEP128	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
750	atypical protein kinase C iota type [EC:2.7.11.13]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2097	receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2103	receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
751	atypical protein kinase C zeta type [EC:2.7.11.13]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1114	dextransucrase [EC:2.4.1.5]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
2096	receptor tyrosine-protein kinase erbB-3 [EC:2.7.10.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
886	cell division cycle 2-like [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
753	aurora kinase B [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2204	serine/threonine kinase PknH [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2041	protein kinase A [EC:2.7.11.11]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1078	cyclin-dependent kinase-like [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
659	actin, alpha skeletal muscle	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
662	actin, other eukaryote	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
661	actin, gamma-enteric smooth muscle	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
1070	cyclin-dependent kinase 3 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
773	beta-adrenergic-receptor kinase [EC:2.7.11.15]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
774	beta-carotene 3-hydroxylase [EC:1.14.15.24]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
849	casein kinase II subunit alpha [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1069	cyclin-dependent kinase 2 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
776	betacellulin	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
660	actin, aortic smooth muscle	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
1068	cyclin-dependent kinase 18 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
778	bifunctional autolysin [EC:3.5.1.28 3.2.1.96]	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p4', 'NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	3
2073	proto-oncogene tyrosine-protein kinase YRK [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
658	actin, alpha cardiac muscle	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
664	actin-like protein 6A	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
2212	serine/threonine-protein kinase 40 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2213	serine/threonine-protein kinase BUR1 [EC:2.7.11.22 2.7.11.23]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
655	actin beta/gamma 1	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
2172	senescence-induced receptor-like serine/threonine-protein kinase	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2089	radixin	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2119	rhodopsin kinase [EC:2.7.11.14]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2215	serine/threonine-protein kinase CHEK1 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2216	serine/threonine-protein kinase CHEK2 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
649	abhydrolase domain-containing protein 14	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
648	abelson tyrosine-protein kinase 2 [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
647	abelson tyrosine-protein kinase 1 [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2217	serine/threonine-protein kinase CLA4 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2211	serine/threonine-protein kinase 31 [EC:2.7.11.1]	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
665	actin-like protein 6B	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
